# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-3.101302025325986200e+00 4.489192950776219938e-04 -3.714858431388273763e-01 -1.410321559470565766e-03 -6.264679682062768151e-02 -2.435559045434933928e-04 5.931985951715669225e-01 -9.975890011343286831e-03 -1.091581176216264992e-02 -1.886261134006036490e-03 -2.280031597853723196e-03 -3.741239063083207322e-04
-3.070596064679194104e+00 4.945481076575593358e-04 -3.765062394597454842e-01 -1.553668701863722326e-03 -6.351421884041030808e-02 -2.685786707978046750e-04 5.888714084242840929e-01 -1.069132321736948263e-02 -1.118808451224024940e-02 -2.021515791257905755e-03 -2.326854337148283845e-03 -3.974306446649427337e-04
-3.040194123444746488e+00 5.447404883197101266e-04 -3.816315928399275359e-01 -1.711352716218117768e-03 -6.440067221375977979e-02 -2.961426533259845645e-04 5.844819928579454427e-01 -1.145397338164834931e-02 -1.146557653450651013e-02 -2.164640438146069133e-03 -2.374148202326021792e-03 -4.217750214208682187e-04
-3.010093191529451762e+00 5.999364388880809584e-04 -3.868654401085291350e-01 -1.884755909031617018e-03 -6.530684024570243551e-02 -3.264986495091805330e-04 5.800303881528254824e-01 -1.226637762822249678e-02 -1.174823799354345923e-02 -2.315964377724973478e-03 -2.421886722983010963e-03 -4.471738710809694366e-04
-2.980290288643021590e+00 6.606152997333399578e-04 -3.922114525096829230e-01 -2.075384172491279936e-03 -6.623343531044056931e-02 -3.599207905128475743e-04 5.755168383246176411e-01 -1.313113066249101471e-02 -1.203600753497935036e-02 -2.475823718940068762e-03 -2.470042354099036969e-03 -4.736423837916135370e-04
-2.950782464002991823e+00 7.272987682473147511e-04 -3.976734519416507130e-01 -2.284876467290669622e-03 -6.718120216160494707e-02 -3.967084851682779051e-04 5.709417235549595349e-01 -1.405087423696411118e-02 -1.232881332199431933e-02 -2.644561303042221225e-03 -2.518586307846936052e-03 -5.011940032505954844e-04
-2.921566796042565972e+00 8.005541280209498315e-04 -4.032554206470391200e-01 -2.515014967391598563e-03 -6.815092016103951877e-02 -4.371885224631437417e-04 5.663055435982266017e-01 -1.502828612620085366e-02 -1.262657124951585032e-02 -2.822526634765288190e-03 -2.567489562208358916e-03 -5.298403305712177068e-04
-2.892640392121352377e+00 8.809978024737629039e-04 -4.089614931244229257e-01 -2.767736224080325283e-03 -6.914340246717198823e-02 -4.817173996490876908e-04 5.616090090689985770e-01 -1.606607147083833481e-02 -1.292918683348250053e-02 -3.010075818082855008e-03 -2.616721827436629868e-03 -5.595910349777639741e-04
-2.864000388238962636e+00 9.692991039738890324e-04 -4.147959732404389310e-01 -3.045142944175538782e-03 -7.015949964972056918e-02 -5.306838166791380540e-04 5.568529770292751646e-01 -1.716695041565773766e-02 -1.323655231039739047e-02 -3.207571495872454416e-03 -2.666252557113238820e-03 -5.904537721901122064e-04
-2.835643948751448207e+00 1.066184118963044028e-03 -4.207633433907900788e-01 -3.349516195508404903e-03 -7.120010198869275442e-02 -5.845113101208485040e-04 5.520384420154174077e-01 -1.833364313378550714e-02 -1.354854755404459946e-02 -3.415382792267631501e-03 -2.716050733726927974e-03 -6.224341113272980177e-04
-2.807568266090542775e+00 1.172440071344206004e-03 -4.268682642725946663e-01 -3.683329114909250461e-03 -7.226614019946220324e-02 -6.436612225235276152e-04 5.471665800966089011e-01 -1.956885844143169476e-02 -1.386503910769859918e-02 -3.633885255871293230e-03 -2.766084227958278807e-03 -6.555354711231801317e-04
-2.779770560485685937e+00 1.288919836909683181e-03 -4.331155811371898423e-01 -4.049261090701614801e-03 -7.335858735018829790e-02 -7.086358408670313802e-04 5.422387534684931509e-01 -2.087527839909760624e-02 -1.418588282895590948e-02 -3.863460801342241679e-03 -2.816322376714253117e-03 -6.897590662023716764e-04
-2.752248079688798033e+00 1.416547201560909011e-03 -4.395103054681117061e-01 -4.450214281886931411e-03 -7.447845654418960848e-02 -7.799820370475996079e-04 5.372566379004611870e-01 -2.225555144785531375e-02 -1.451091012586441971e-02 -4.104497646155483639e-03 -2.866732808217858832e-03 -7.251038641112090731e-04
-2.724998098701780336e+00 1.556321448919830396e-03 -4.460577027454181165e-01 -4.889328030550761650e-03 -7.562681726284559147e-02 -8.582946706248324731e-04 5.322218137089959056e-01 -2.371225726859598967e-02 -1.483994909668871938e-02 -4.357390238581714328e-03 -2.917284331288010936e-03 -7.615665537371871588e-04
-2.698017919506713103e+00 1.709323773294102369e-03 -4.527632024065994520e-01 -5.369999008787137117e-03 -7.680478066436524642e-02 -9.442210938642239815e-04 5.271362653406644894e-01 -2.524791211944566599e-02 -1.517280554929307038e-02 -4.622539172140935348e-03 -2.967945674217761960e-03 -7.991415256812497894e-04
-2.671304870798725695e+00 1.876722761133840789e-03 -4.596324924854748861e-01 -5.895898439202826129e-03 -7.801351733753669748e-02 -1.038465326386753262e-03 5.220019531371716814e-01 -2.686493275982868023e-02 -1.550926074024230016e-02 -4.900351080967871135e-03 -3.018686182834684050e-03 -8.378208650711691831e-04
